Item,Price
Double Chocolate Brownie,$4.39
Petite Vanilla Bean Scone,$2.12
Pumpkin Scone,$3.12
Everything Bagel with Cheese,$2.18
Gingerbread Loaf,$5.02
Berry Trio Yogurt,$4.89
Siggi's® Yogurt Cup 0% Vanilla,$2.88
Siggi's 0% Vanilla Yogurt,$2.89
Lemon Crunch Yogurt Parfait,$5.05
Penguin Cookie,$4.21
Valentine Cake Pop,$3.87
Cranberry Bliss Bar Tray,$19.89
Cranberry Bliss Bar,$4.19
Veranda Blend®,$12.82
Starbucks® Blonde Espresso Roast,$15.08
Pike Place® Roast Whole Bean,$17.43
Guatemala Antigua,$18.32
Organic Yukon Blend®,$15.95
Passport Series: Guatemala Casi Cielo® Antigua,$17.25
Passport Series: Kenya,$17.25
Siren's Blend™,$15.09
Italian Roast,$17.06
Espresso Roast,$17.05
Decaf Espresso Roast,$19.37
Caffè Verona®,$15.73
Komodo Dragon Blend®,$16.85
Sumatra,$18.02
Decaf Sumatra,$17.25
Passport Series: Sundried Ethiopia Sidama,$17.25
Chicken & Double-Smoked Bacon Sandwich,$8.88
Chicken & Double-Smoked Bacon Sandwich Lunch,$9.20
Chicken and Bacon on Brioche,$8.30
Spicy Falafel Pocket,$5.43
Crispy Grilled Cheese Sandwich,$6.87
Tomato & Mozzarella Sandwich Lunch,$8.17
Tomato and Mozzarella on Focaccia,$7.86
Tomato & Mozzarella Sandwich,$7.78
Chicken Caprese Sandwich Lunch,$9.20
Cheddar and Uncured Salami Protein Box,$7.89
Chicken Caprese,$7.59
Turkey & Basil Pesto Sandwich Lunch,$8.59
"Turkey, Provolone and Pesto on Ciabatta",$8.73
Eggs and Gouda Protein Box,$7.79
Ham & Swiss Panini Lunch,$9.20
Ham and Swiss on Baguette,$8.94
Cheese Trio Protein Box,$7.74
Turkey & Basil Pesto,$8.31
Crispy Grilled Cheese on Sourdough,$7.99
Ham & Swiss Panini,$7.97
Eggs and Cheddar Protein Box,$7.91
Eggs & Cheese Protein Box,$6.97
Cheese and Fruit Protein Box,$7.57
PBandJ Protein Box,$6.84
Smoked Turkey Protein Box,$9.34
Chicken and Hummus Protein Box,$7.86
Chicken Wrap Protein Box,$9.35
Chickpea Bites and Avocado Protein Box,$7.85
Chipotle Chicken Wrap Protein Box,$9.35
Chicken & Quinoa Protein Bowl with Black Beans and Greens,$9.74
VIA® Sweetened Iced Coffee,$6.85
VIA Instant Pumpkin Spice Latte,$7.95
Starbucks VIA® Instant Colombia Coffee,$11.45
VIA® Veranda Blend™,$11.83
Starbucks VIA® Instant Pike Place® Roast,$11.84
VIA® Colombia,$11.41
VIA® Pike Place® Roast,$11.45
VIA® Italian Roast,$11.45
VIA® Decaf Italian Roast,$13.02
VIA® French Roast,$11.45
Pike Place® Roast Verismo® Pods,$13.75
Veranda Blend® Verismo® Pods,$13.75
Sumatra Verismo® Pods,$13.75
Espresso Roast Verismo® Pods,$13.75
Starbucks® Blonde Espresso Verismo® Pods,$13.75
Kenya Verismo® Pods,$13.75
Decaf Espresso Roast Verismo® Pods,$13.75
